,equity
0,100000.0
1,99920.64611542945
2,100039.8259282715
3,99542.9399593219
4,99209.26602418111
5,99312.44155712472
6,98925.62641158178
7,98795.39764270285
8,98678.626531779
9,98546.35503849344
10,98807.4131259027
11,99381.99268983678
12,99228.21579998796
13,99265.43890005126
14,99790.13245955203
15,100062.5751716888
16,99982.46501209213
17,100046.71835226445
18,100257.39133508784
19,99696.26917761395
20,99355.79969613574
21,99316.76019343353
22,99211.35243603516
23,99593.64629837059
24,99776.59638082767
25,99855.50451641431
26,100027.32247785485
27,99995.54531185485
28,100451.80042514172
29,100132.23001158197
30,99712.78092787402
31,99305.30162411652
32,99181.70394119248
33,98825.21514874385
34,98616.19575588957
35,98470.24840906126
36,98296.53057513434
37,98611.64632758098
38,98142.79259191158
39,97825.26588579945
40,97443.52358510773
41,97278.43469201672
42,97366.17526985148
43,97539.73757715455
44,97746.30629157169
45,97511.96948594638
46,97918.16237586249
47,97716.6159422477
48,97835.49802412813
49,98125.12986827613
50,98346.84547579467
51,98065.05872363172
52,97906.58415828184
53,97483.76553603067
54,97733.9286970882
55,97396.86596038676
56,97342.1175800211
57,97215.45197750963
58,97248.36443798889
59,97229.11076943416
60,97210.45286969094
61,97236.45241506283
62,97401.86780083341
63,97204.20506895444
64,96873.77956835125
65,97400.30964415932
66,97635.993647885
67,97787.70716361605
68,98039.74954906407
69,97682.39845377
70,97811.19318868895
71,97530.05250323312
72,97503.4442498964
73,97656.46873936747
74,97039.60469352083
75,97029.15774382067
76,96592.0810535393
77,95967.35954749383
78,96044.013287895
79,96188.64356676921
80,95404.45608810804
81,95182.51584807783
82,95794.9117465169
83,96184.26171798476
84,96157.52400778275
85,96020.70827234189
86,95558.41562601346
87,95711.06798043758
88,95216.21079920164
